name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,star_metallicity,detection_type,discovered
Kepler-1972 b,Confirmed,0.00636,0.07155,7.54425,0.0794,0.067,0.23,Primary Transit,2015-01-01
Kepler-1972 c,Confirmed,0.00664,0.07744,11.3295,0.1025,0.043,0.23,Primary Transit,2015-01-01
Kepler-1973 Ab,Confirmed,0.0544,0.384,4.2881785,0.0504,0.12,0.12,Primary Transit,2017-01-01
Kepler-197 Ac,Confirmed,0.017,0.11669,10.34973276,0.0883,0.08,-0.441,Primary Transit,2014-01-01
Kepler-19 b,Confirmed,0.02643,0.198,9.28716,0.085,0.12,-0.08,Primary Transit,2011-01-01
Kepler-2002 b,Confirmed,23.0,0.25,19.00547,0.1357,0.36,-0.37,Primary Transit,2023-01-01
Kepler-20 Ab,Confirmed,0.029963,0.17905,3.6961049,0.045862,0.03,0.07,Primary Transit,2011-01-01
Kepler-20 Ac,Confirmed,0.0349,0.2569,10.8540774,0.094,0.16,0.07,Primary Transit,2011-01-01
Kepler-20 Ad,Confirmed,0.040733,0.22232,77.611455,0.349,0.0,0.07,Primary Transit,2011-01-01
Kepler-20 Af,Confirmed,0.045,0.08404,19.578328,0.13936,0.0,0.07,Primary Transit,2011-01-01
Kepler-21 Ab,Confirmed,0.02102,0.1472,2.785823,0.0434281,0.02,-0.03,Primary Transit,2012-01-01
Kepler-223 b,Confirmed,0.02328,0.267,7.38449,0.073,0.078,-0.211,Primary Transit,2014-01-01
Kepler-223 c,Confirmed,0.01605,0.307,9.84564,0.088,0.15,-0.211,Primary Transit,2014-01-01
Kepler-223 d,Confirmed,0.02517,0.467,14.78869,0.116,0.037,-0.211,Primary Transit,2014-01-01
Kepler-223 e,Confirmed,0.0151,0.41,19.72567,0.14,0.051,-0.211,Primary Transit,2014-01-01
Kepler-22 b,Confirmed,0.0286,0.187,289.863876,0.812,0.0,-0.255,Primary Transit,2011-01-01
Kepler-25 Ab,Confirmed,0.034013,0.24124,6.238297,0.06944,0.0029,-0.01,Primary Transit,2011-01-01
Kepler-25 Ac,Confirmed,0.075805,0.4128,12.7207,0.1116,0.0061,-0.01,Primary Transit,2011-01-01
Kepler-278 b,Confirmed,0.176,0.363,30.160546,0.207,0.696,0.422,Primary Transit,2014-01-01
Kepler-278 c,Confirmed,0.1098,0.32,51.078775,0.294,0.616,0.422,Primary Transit,2014-01-01
Kepler-289 b,Confirmed,0.023,0.192,34.545,0.21,0.024,0.05,Primary Transit,2014-01-01
Kepler-289 c,Confirmed,0.42,1.034,125.8518,0.51,0.0115,0.05,Primary Transit,2014-01-01
Kepler-289 d,Confirmed,0.013,0.239,66.0634,0.33,0.0033,0.05,Primary Transit,2014-01-01
Kepler-29 b,Confirmed,0.01573,0.227,10.33974,0.09,0.0,-0.44,Primary Transit,2011-01-01
Kepler-29 c,Confirmed,0.01416,0.209,13.28613,0.11,0.0,-0.44,Primary Transit,2011-01-01
Kepler-30 b,Confirmed,0.036,0.348,29.33434,0.18,0.042,0.18,Primary Transit,2012-01-01
Kepler-30 c,Confirmed,2.01,1.097,60.323105,0.3,0.0111,0.18,Primary Transit,2012-01-01
Kepler-30 d,Confirmed,0.073,0.785,143.34394,0.5,0.022,0.18,Primary Transit,2012-01-01
Kepler-324 d,Confirmed,0.00702,0.1008,34.169,0.1949,0.0,-0.009,Primary Transit,2017-01-01
Kepler-338 b,Confirmed,0.0963,0.218,13.726976,0.117,0.04,-0.106,Primary Transit,2014-01-01
Kepler-34 (AB)b,Confirmed,0.22,0.7637,288.822,1.0896,0.182,-0.07,Primary Transit,2012-01-01
Kepler-35 (AB)b,Confirmed,0.1268,0.728,131.458,0.60347,0.042,-0.34,Primary Transit,2012-01-01
Kepler-36 b,Confirmed,0.01205,0.134,13.86825,0.1153,0.0,-0.18,Primary Transit,2012-01-01
Kepler-36 c,Confirmed,0.02243,0.328,16.21865,0.1283,0.0,-0.18,Primary Transit,2012-01-01
Kepler-37 b,Confirmed,0.01,0.026,13.36731,0.1003,0.0,-0.32,Primary Transit,2013-01-01
Kepler-37 d,Confirmed,0.017,0.173,39.7922,0.2109,0.142,-0.32,Primary Transit,2013-01-01
Kepler-391 c,Confirmed,1.416,0.316,20.485435,0.161,0.27,0.02,Primary Transit,2014-01-01
Kepler-39 b,Confirmed,20.1,1.24,21.08721,0.164,0.112,0.1,Primary Transit,2011-01-01
Kepler-407 Ab,Confirmed,0.005251,0.10358,0.669310092,0.0153,0.0,0.33,Primary Transit,2014-01-01
Kepler-40 b,Confirmed,2.2,1.17,6.87349,0.08,0.0,0.1,Primary Transit,2010-01-01
Kepler-411 Ab,Confirmed,0.0805,0.16647,3.005156,0.03831,0.146,0.11,Primary Transit,2013-01-01
Kepler-411 Ac,Confirmed,0.0831,0.28888,7.834435,0.07258,0.108,0.11,Primary Transit,2016-01-01
Kepler-411 Ad,Confirmed,0.04782,0.30119,58.02035,0.2757,0.128,0.11,Primary Transit,2018-01-01
Kepler-412 b,Confirmed,0.941,1.341,1.7208604,0.02897,0.0038,0.27,Primary Transit,2014-01-01
Kepler-419 b,Confirmed,2.5,0.96,69.7546,0.37,0.833,0.176,Primary Transit,2014-01-01
Kepler-41 b,Confirmed,0.56,1.29,1.8555582,0.03101,0.0,0.38,Primary Transit,2011-01-01
Kepler-420 Ab,Confirmed,1.45,0.94,86.647661,0.382,0.772,0.27,Primary Transit,2014-01-01
Kepler-423 b,Confirmed,0.595,1.192,2.6843285,0.03585,0.019,-0.1,Primary Transit,2014-01-01
Kepler-425 b,Confirmed,0.25,0.978,3.79701816,0.0464,0.33,0.24,Primary Transit,2014-01-01
Kepler-426 b,Confirmed,0.34,1.09,3.21751883,0.0414,0.18,-0.21,Primary Transit,2014-01-01
Kepler-427 b,Confirmed,0.29,1.23,10.290994,0.091,0.57,-0.19,Primary Transit,2014-01-01
Kepler-428 b,Confirmed,1.27,1.08,3.52563254,0.0433,0.22,0.09,Primary Transit,2014-01-01
Kepler-432 b,Confirmed,5.41,1.145,52.501129,0.301,0.5134,-0.07,Primary Transit,2015-01-01
Kepler-433 b,Confirmed,2.82,1.45,5.33408384,0.0679,0.119,-0.01,Primary Transit,2015-01-01
Kepler-434 b,Confirmed,2.86,1.13,12.8747099,0.1143,0.131,0.25,Primary Transit,2015-01-01
Kepler-435 b,Confirmed,0.84,1.99,8.6001536,0.0948,0.114,-0.18,Primary Transit,2015-01-01
